,id,city,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,umpire1,umpire2,yr,team1_points,team2_points
142,419140,Delhi,PD Collingwood,Feroz Shah Kotla,0,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,Delhi Daredevils,runs,37.0,BF Bowden,M Erasmus,2010,1766.0,2011.0
143,419141,Nagpur,SK Warne,"Vidarbha Cricket Association Stadium, Jamtha",0,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,runs,2.0,HDPK Dharmasena,SJA Taufel,2010,2004.5,1685.5
144,419142,Chennai,SK Raina,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,runs,24.0,S Asnani,DJ Harper,2010,2108.5,2020.5
145,419143,Jaipur,MJ Lumb,Sawai Mansingh Stadium,0,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Rajasthan Royals,wickets,9.0,S Ravi,SK Tarapore,2010,1685.5,1684.5
146,419144,Kolkata,SC Ganguly,Eden Gardens,0,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,14.0,BG Jerling,RE Koertzen,2010,1599.0,1766.0
147,419145,Bangalore,TL Suman,M Chinnaswamy Stadium,0,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,7.0,S Asnani,DJ Harper,2010,2011.0,2004.5
148,419146,Chandigarh,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",0,Kings XI Punjab,Mumbai Indians,Mumbai Indians,bat,Kings XI Punjab,wickets,6.0,M Erasmus,AM Saheba,2010,1684.5,2020.5
149,419147,Nagpur,RJ Harris,"Vidarbha Cricket Association Stadium, Jamtha",0,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,bat,Deccan Chargers,wickets,6.0,HDPK Dharmasena,SJA Taufel,2010,2004.5,2108.5
150,419148,Bangalore,R Vinay Kumar,M Chinnaswamy Stadium,0,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,7.0,K Hariharan,DJ Harper,2010,2011.0,1599.0
151,419149,Delhi,PP Chawla,Feroz Shah Kotla,0,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Kings XI Punjab,wickets,7.0,BF Bowden,AM Saheba,2010,1766.0,1684.5
152,419150,Jaipur,SR Tendulkar,Sawai Mansingh Stadium,0,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Mumbai Indians,runs,37.0,BR Doctrove,SK Tarapore,2010,1685.5,2020.5
153,419151,Nagpur,Harmeet Singh,"Vidarbha Cricket Association Stadium, Jamtha",0,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Deccan Chargers,runs,13.0,RE Koertzen,RB Tiffin,2010,2004.5,2011.0
154,419152,Mumbai,KA Pollard,Brabourne Stadium,0,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Mumbai Indians,runs,39.0,S Asnani,DJ Harper,2010,2020.5,1766.0
155,419153,Chennai,R Ashwin,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,wickets,9.0,SS Hazare,SJA Taufel,2010,2108.5,1599.0
156,419154,Jaipur,KP Pietersen,Sawai Mansingh Stadium,0,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,wickets,5.0,BR Doctrove,S Ravi,2010,1685.5,2011.0
157,419155,Chennai,G Gambhir,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Delhi Daredevils,wickets,6.0,HDPK Dharmasena,SS Hazare,2010,2108.5,1766.0
158,419156,Dharamsala,RG Sharma,Himachal Pradesh Cricket Association Stadium,0,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,5.0,M Erasmus,AM Saheba,2010,1684.5,2004.5
159,419157,Bangalore,R McLaren,M Chinnaswamy Stadium,0,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Mumbai Indians,runs,57.0,HDPK Dharmasena,SJA Taufel,2010,2011.0,2020.5
160,419158,Kolkata,JD Unadkat,Eden Gardens,0,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Kolkata Knight Riders,wickets,8.0,BG Jerling,RB Tiffin,2010,1599.0,1685.5
161,419159,Dharamsala,MS Dhoni,Himachal Pradesh Cricket Association Stadium,0,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,6.0,BF Bowden,AM Saheba,2010,1684.5,2108.5
162,419160,Delhi,A Symonds,Feroz Shah Kotla,0,Delhi Daredevils,Deccan Chargers,Deccan Chargers,bat,Deccan Chargers,runs,11.0,BR Doctrove,SK Tarapore,2010,1766.0,2004.5
